StudentID,FullName,Gender,Branch,CGPA,GraduationYear,Email,Phone
1,Ishani Thaman,Female,CSM,6.73,2027,azadhalder@example.net,6691467659
2,Aryan Rama,Male,ECE,6.99,2027,anyanigam@example.org,4482714517
3,Aadhya Mitra,Female,CSM,8.74,2027,sathvik06@example.net,7539359254
4,Girindra Sundaram,Male,AIML,7.66,2027,andrew09@example.net,3096218913
5,Nirja Lanka,Male,AIML,7.25,2027,thakerkritika@example.net,7701018681
6,Odika Saha,Female,ECE,7.62,2027,gaganchada@example.org,6862028587
7,Hritik Sridhar,Female,CSE,6.66,2027,noah63@example.org,5038990746
8,Theodore Babu,Male,EEE,9.87,2027,patrickgoswami@example.com,4718883799
9,Amrita Bhasin,Female,DS,7.66,2027,rachanaahuja@example.com,1444538908
10,Siya Lad,Female,EEE,7.45,2027,cheemayug@example.org,4146402923
11,Radha Maharaj,Male,CSE,7.71,2027,devansh30@example.org,8437085613
12,Samuel Pai,Male,DS,9.08,2027,liampau@example.net,5368497422
13,Gaurang Sahni,Male,IT,7.41,2027,geetikavala@example.net,1637513339
14,Yachana Chad,Female,DS,8.42,2027,biryutika@example.org,9782644507
15,Falan Chhabra,Male,ECE,6.67,2027,mdube@example.net,9037919632
16,Tanvi Contractor,Male,AIML,9.22,2027,gillvidhi@example.net,2888518391
17,Dhriti Mall,Female,CSM,7.04,2027,ozajeet@example.org,0219247254
18,Abhimanyu Kashyap,Female,EEE,9.65,2027,aditya92@example.net,7922090362
19,Vyanjana Bahl,Female,CSM,8.08,2027,anirudhsha@example.org,7431763725
20,Kashish Anand,Female,CSM,9.22,2027,harinakshisidhu@example.org,6544392974
21,Chakradev Sridhar,Female,AIML,7.71,2027,samarthkanda@example.org,1743449995
22,Vritti Dash,Male,DS,7.04,2027,warda79@example.net,5081331397
23,Amol Sharma,Male,CSM,8.05,2027,vincent38@example.net,2725129556
24,Hritik Randhawa,Female,CSE,6.77,2027,shivanshmore@example.net,8914480533
25,Fiyaz Nagy,Male,ECE,8.2,2027,itaneja@example.net,2403386318
26,Warda Walla,Male,EEE,8.67,2027,omkaarmajumdar@example.org,9538763037
27,Gaurav Batta,Female,ECE,8.79,2027,usule@example.org,0740006709
28,Eiravati Sahota,Female,DS,7.65,2027,advaynair@example.com,2982680531
29,Neel Gola,Female,EEE,9.01,2027,csekhon@example.org,0921786747
30,Aditya Sule,Male,EEE,7.02,2027,quincy23@example.org,8079162072
31,Krishna Shanker,Male,IT,6.79,2027,rishi38@example.org,7274107360
32,Kashvi Jain,Male,CSM,7.51,2027,shenoycharan@example.com,8679453398
33,Dayamai Raghavan,Female,CSE,6.56,2027,vigbrinda@example.org,6001020472
34,Jyoti Tella,Male,EEE,9.29,2027,chayre@example.net,5715331870
35,Zaid Sampath,Male,IT,6.83,2027,nkibe@example.net,2295153998
36,Jairaj Khare,Male,EEE,7.57,2027,yashodhara31@example.net,4438588870
37,Vihaan Bansal,Male,DS,8.08,2027,daliasamaksh@example.net,2009376605
38,Yochana Sheth,Male,DS,6.65,2027,radha18@example.org,4379455527
39,Baghyawati Krishna,Male,AIML,7.54,2027,dinchristopher@example.com,2550995500
40,Christopher Bansal,Male,CSE,6.63,2027,hsahota@example.net,4056991401
41,Geetika Bhargava,Female,CSE,8.91,2027,saanvimore@example.com,9815602046
42,Harini Handa,Male,CSM,7.7,2027,varshasane@example.org,1506332531
43,Edhitha Kamdar,Female,AIML,7.02,2027,mmallick@example.net,7455914289
44,Raksha Kalla,Female,ECE,6.57,2027,yachana15@example.com,6204958138
45,Nathan Pall,Female,IT,8.72,2027,dhruv75@example.org,9021582579
46,Hamsini Biswas,Male,CSM,9.32,2027,wahab83@example.net,4658062212
47,Ati Seshadri,Female,CSM,9.13,2027,henrylad@example.net,1099735511
48,Gaurika Barad,Male,EEE,8.95,2027,qcontractor@example.net,1615853617
49,Tanish Desai,Male,AIML,9.46,2027,karandhar@example.com,1794793171
50,Peter Sen,Male,DS,7.44,2027,pushti56@example.net,2121206464
51,Urishilla Chaudhary,Female,DS,8.08,2027,saanviwable@example.com,9858694058
52,Rushil Sheth,Male,ECE,9.55,2027,kbora@example.org,1332446889
53,Qadim Nayar,Male,CSE,6.95,2027,osandhu@example.org,0630846427
54,Tanay Chandran,Male,IT,8.27,2027,aadi96@example.com,1516056884
55,Chaitaly Ratta,Male,DS,6.52,2027,irya24@example.com,0733467575
56,Eiravati Suresh,Female,CSE,8.29,2027,abdul14@example.com,6740506852
57,Amol Savant,Female,IT,6.58,2027,balvan30@example.org,6276141173
58,Imaran Khalsa,Female,CSM,6.62,2027,urmi43@example.org,0160112351
59,Lila Chauhan,Male,EEE,6.56,2027,vivaanrajagopalan@example.com,3292415952
60,Pavani Yadav,Male,CSM,9.48,2027,yamini83@example.com,8183615069
61,Ati Verma,Female,DS,6.98,2027,pallavimani@example.org,3416326090
62,Darsh Pillay,Male,IT,7.97,2027,aradhana34@example.net,9885363571
63,Edhitha Doctor,Female,ECE,8.58,2027,pandyaraagini@example.org,7812997944
64,Yashica Kalita,Male,CSE,9.84,2027,ansh25@example.com,8867068526
65,Oviya Zacharia,Female,CSM,7.67,2027,majumdarbakhshi@example.com,1767183486
66,Jagdish Chandra,Female,EEE,8.23,2027,ira94@example.com,8185471714
67,Shravya Panchal,Male,ECE,9.11,2027,hsunder@example.org,6862734667
68,Madhavi D’Alia,Female,EEE,9.86,2027,bainstarak@example.net,5678204985
69,Charles Bumb,Male,ECE,8.77,2027,ganga36@example.net,8459133310
70,Triya Sur,Male,CSM,9.22,2027,patricknazareth@example.net,1712591665
71,Agastya Shere,Female,IT,8.55,2027,imitter@example.net,9454035378
72,Jason Ganguly,Female,CSM,9.77,2027,eradhakrishnan@example.org,5115793054
73,Aradhana Agrawal,Male,IT,7.3,2027,chakrika21@example.com,4773296756
74,Nathan Mangal,Female,DS,8.86,2027,jananithakkar@example.net,1339601500
75,Ikbal Jani,Male,EEE,7.1,2027,msampath@example.com,0329373707
76,Chavvi Chada,Male,CSE,8.19,2027,rnarula@example.org,8492097962
77,Gaurika Dewan,Female,CSM,6.58,2027,owen27@example.org,9175121524
78,Raagini Lalla,Male,ECE,7.8,2027,lchadha@example.net,1771635321
79,Prisha Boase,Male,EEE,7.99,2027,neha47@example.org,5101888228
80,Omisha Chander,Female,AIML,6.77,2027,joshuaganesan@example.org,4912612980
81,Darsh Bora,Female,DS,9.03,2027,daksh42@example.net,9128372515
82,Panini Chaudhari,Female,ECE,7.35,2027,frederick57@example.net,2248081836
83,Rachita Khurana,Female,ECE,8.67,2027,qchanda@example.net,3534736653
84,Harini Sharaf,Male,EEE,7.08,2027,omyashah@example.com,3882893325
85,Bimala Ramanathan,Female,CSM,9.35,2027,msingh@example.org,8052638641
86,Bakhshi Sethi,Female,EEE,8.51,2027,urishilla40@example.com,6655868666
87,Aarini Sharma,Male,AIML,8.58,2027,zchadha@example.com,2407588295
88,Rohan Dhar,Female,IT,9.18,2027,pranav46@example.net,0290230593
89,Madhavi Borra,Male,CSE,7.5,2027,udar@example.net,9093550748
90,Jacob Subramaniam,Male,ECE,7.98,2027,prisha57@example.net,7199046217
91,Frado Goel,Female,IT,7.08,2027,fbaria@example.com,0645000528
92,Keya Zacharia,Female,CSM,8.47,2027,anaykapadia@example.org,2670590674
93,Vedhika Grover,Female,ECE,8.65,2027,sarkaridika@example.com,2659127260
94,Chavvi Vyas,Female,DS,9.65,2027,prakashkrish@example.org,2739479941
